entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AO","SUIOPTQDGHJKLMWN","","",""
"Accionesautomaticas","Acciones automáticas","Acciones automáticas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AA","B","","",""
"Agrupamiento","Agrupamientos de Bases de Datos","Agrupamientos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"T","AGR","B","","",""
"Alfano","Alfano","Alfano","","",0.00,0,0,F,"E",2,"AUDITORIAGENERADORES","",2,"",F,F,"BT","024","B","","",""
"AnaMariaGiunta","Ana Maria Giunta","Ana Maria Giunta","","",0.00,0,0,T,"E",2,"","",2,"",T,T,"GCBT","040","B","","",""
"Articulo","Artículos","Artículos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","046","B","","",""
"Basededatos","Base de Datos","Base de Datos","","",7.00,0,0,F,"E",2,"","",0,"PUESTO",F,F,"T","052","B","","",""
"BelenFrancese","BelenFrancese","BelenFrancese","","",0.00,0,0,T,"E",2,"","",2,"",F,F,"BT","028","B","","",""
"BetinaCapetillo","BetinaCapetillo","BetinaCapetillo","","",0.00,0,0,T,"E",2,"","",2,"",F,F,"BT","030","B","","",""
"CAJASALDOS","Saldos de caja","Saldos de caja","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","SSS","B","","",""
"CELINARUCCI","CELINARUCCI","CELINARUCCI","","",0.00,0,0,F,"E",2,"","",2,"",F,F,"BT","026","B","","",""
"CHACHITELESCO","Chachi Telesco","Chachi Telesco","c:\zoo\Imagenes\Iconos\lincew.ico","",0.00,0,0,T,"E",2,"","",2,"",F,F,"BTD","019","B","","",""
"CIRIO","Cirio","Yesica Cirio","","",0.00,0,0,T,"E",2,"","",999,"",F,F,"BT","001","PDFG",""bla"","",""
"COMPORTAMIENTOCODIGOSUGERIDOENTIDAD","Comportamiento de códigos","Comportamiento de códigos","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"","CCS","B","","",""
"CTACTE","Cuenta corriente","Cuenta corriente","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","CCC","B","","",""
"Chulo","Chulo","Chulo","","",0.00,0,0,F,"E",2,"","",2,"",F,F,"BT","021","B",""chulo"","",""
"ClaudiaFernandez","ClaudiaFernandez","ClaudiaFernandez","","",0.00,0,0,T,"E",2,"","",2,"",F,F,"BT","031","B","","",""
"Cliente","Clientes","Clientes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"TW","047","B","","",""
"Coki","Coki Ramirez","Coki Ramirez","","",0.00,0,0,T,"E",2,"","",2,"",F,F,"","COK","B","","",""
"Color","Colores","Colores","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","048","B","","",""
"Conte","Carla Conte","Carla Conte","","",0.00,0,0,T,"E",2,"Ent_ComprobanteDeVENTAS","ComprobanteDeVENTAS",2,"",F,F,"BTX","013","B","","",""
"Conversion","Conversión de datos","Conversión de datos","","",0.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"T","CDE","B","","",""
"ConversionValores","Valores de conversión","Valores de conversión","","",0.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"T","VCE","B","","",""
"DISCOVER","Discover","Discover","","",7.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"","DSC","","","",""
"DisenoExpo","Diseño de exportación","Diseño de exportación","","",0.00,0,0,T,"E",2,"ent_ImpoExpo","",0,"ORGANIZACION",F,F,"T","EXP","B","","",""
