entidad,atributo,tabla,campo,tipodato,longitud,decimales,alta,dominio,grupo,descripciongrupo,subgrupo,tiposubgrupo,descripcionsubgrupo,orden,etiqueta,etiquetacorta,claveprimaria,claveforanea,atributoscontrol,tipoespeciales,modulorequerido,busquedaordenamiento,aperturarango,quecontenga,muestrarelacion,nuevosugerido,valorsugerido,versioncampo,autocompletar,ayuda,imagen,ajustable,version,obligatorio,admitebusqueda,version_exe,version_zoo,version_cli,modo_avanzado,saltocampo,sumarizar,reservado,validamodificacion,mascara,campoinicial,formato,deshabilitado,unicidad,atributoforaneo,genhabilitar,validacion,despuesdeasignacion,clavecandidata,talonario,cond_tal,ordenreglanegocio,estetica,buscador,filtrobuscador,mantenerenrecepcion,validacomp,auditoria,ordennavegacion,tags,tooltip,esquema,etiquetaautodescriptiva
"conversion","Codigo","conver","codigo","C",40,0,T,"CODIGO",0,"",0,1,"",1,"Codigo","Codigo",T,"",""," ","",T,0,F,F,F,"","",F,"Código de la conversión","",F,0,F,1,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"conversion","Descripcion","conver","descrip","C",100,0,T,"DESCRIPCION",0,"",0,1,"",2,"Descripción","Desc.",F,"",""," ","",F,0,F,T,F,"","",F,"Descripción de la conversión","",F,0,F,2,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"conversion","Obs","conver","cObs","M",0,0,T,"OBSERVACION",0,"",1,3,"Observaciones",0,"Observación","Obs.",F,"",""," ","",F,0,F,F,F,"","",F,"Observaciones","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"conversion","accion","conver","accion","C",40,0,T,"COMBOACCIONCONVERSION",1,"",1,1,"Si no existe la conversión",4,"Acción","Acción",F,"",""," ","",F,0,F,F,F,"="Dejar original"","",F,"Acciones ante la falta de una conversión","",F,0,T,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","this.lhabilitarvalordefault = (allt( this.accion ) == "Valor por defecto")",0,"","",0,"","","",F,F,F,0,"","","",""
"conversion","valorDefault","conver","valorDef","C",100,0,T,"DESCRIPCION",1,"",1,1,"Si no existe la conversión",7,"Valor por defecto","Val. Defecto",F,"",""," ","",F,0,F,F,F,"","",F,"Valor por defecto","",F,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",T,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"conversionValores","Obs","converVal","cObs","M",0,0,T,"OBSERVACION",0,"",1,3,"Observaciones",0,"Observación","Obs.",F,"",""," ","",F,0,F,F,F,"","",F,"Observaciones","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
