entidad,componente
"NOTADECREDITOELECTRONICA","FacturacionElectronica"
"NOTADECREDITOELECTRONICA","LimitesDeConsumo"
"NOTADECREDITOELECTRONICA","RegistroLiquidacionConsignaciones"
"NOTADECREDITOELECTRONICA","Senias"
"NOTADECREDITOELECTRONICADECREDITO","DESCUENTOS"
"NOTADECREDITOELECTRONICADECREDITO","DatosAdicionalesComprobantesA"
"NOTADECREDITOELECTRONICADECREDITO","DatosAdicionalesSIRE"
"NOTADECREDITOELECTRONICADECREDITO","FacturacionElectronica"
"NOTADECREDITOELECTRONICADECREDITO","LimitesDeConsumo"
"NOTADECREDITOELECTRONICADECREDITO","RegistroLiquidacionConsignaciones"
"NOTADECREDITOELECTRONICADECREDITO","SENIAS"
"NOTADECREDITOELECTRONICAEXPORTACION","Descuentos"
"NOTADECREDITOELECTRONICAEXPORTACION","FacturacionElectronicaExportacion"
"NOTADECREDITOELECTRONICAEXPORTACION","LimitesDeConsumo"
"NOTADECREDITOELECTRONICAEXPORTACION","Senias"
"NOTADEDEBITO","DESCUENTOS"
"NOTADEDEBITO","DatosAdicionalesComprobantesA"
"NOTADEDEBITO","LimitesDeConsumo"
"NOTADEDEBITOAGRUPADA","DESCUENTOS"
"NOTADEDEBITOAGRUPADA","DatosAdicionalesComprobantesA"
"NOTADEDEBITOAGRUPADA","FacturacionElectronica"
"NOTADEDEBITOAGRUPADA","LimitesDeConsumo"
"NOTADEDEBITODEEXPORTACION","Descuentos"
"NOTADEDEBITODEEXPORTACION","LimitesDeConsumo"
"NOTADEDEBITODEEXPORTACION","Senias"
"NOTADEDEBITOELECTRONICA","DESCUENTOS"
"NOTADEDEBITOELECTRONICA","DatosAdicionalesComprobantesA"
"NOTADEDEBITOELECTRONICA","FacturacionElectronica"
"NOTADEDEBITOELECTRONICA","LimitesDeConsumo"
"NOTADEDEBITOELECTRONICADECREDITO","DESCUENTOS"
"NOTADEDEBITOELECTRONICADECREDITO","DatosAdicionalesComprobantesA"
"NOTADEDEBITOELECTRONICADECREDITO","FacturacionElectronica"
"NOTADEDEBITOELECTRONICADECREDITO","LimitesDeConsumo"
"NOTADEDEBITOELECTRONICAEXPORTACION","Descuentos"
"NOTADEDEBITOELECTRONICAEXPORTACION","FacturacionElectronicaExportacion"
"NOTADEDEBITOELECTRONICAEXPORTACION","LimitesDeConsumo"
"NOTADEDEBITOELECTRONICAEXPORTACION","Senias"
"OPERACIONECOMMERCE","ECOMMERCE"
"ORDENDESERVICIO","SERVICIOSALCLIENTE"
"PEDIDO","DESCUENTOS"
"PEDIDO","ECOMMERCE"
"PRESUPUESTO","DESCUENTOS"
"PROVEEDOR","DatosAdicionalesSIPRIB"
"REMITO","DESCUENTOS"
"REMITO","ECOMMERCE"
"REMITO","SERVICIOSALCLIENTE"
"TICKETFACTURA","DESCUENTOS"
"TICKETFACTURA","DatosAdicionalesComprobantesA"
"TICKETFACTURA","ECOMMERCE"
"TICKETFACTURA","LimitesDeConsumo"
"TICKETFACTURA","SENIAS"
"TICKETNOTADECREDITO","DESCUENTOS"
"TICKETNOTADECREDITO","DatosAdicionalesComprobantesA"
"TICKETNOTADECREDITO","DatosAdicionalesSIRE"
"TICKETNOTADECREDITO","LimitesDeConsumo"
"TICKETNOTADECREDITO","RegistroLiquidacionConsignaciones"
"TICKETNOTADECREDITO","Senias"
"TICKETNOTADEDEBITO","DESCUENTOS"
"TICKETNOTADEDEBITO","DatosAdicionalesComprobantesA"
"TICKETNOTADEDEBITO","LimitesDeConsumo"
"TRANSFERENCIAENTRECUENTAS","CUENTABANCARIATRANSFERENCIA"
"Ticketfactura","RegistroLiquidacionConsignaciones"
"disenoImpresion","disenoImpresion"
