entidad,atributo,tabla,campo,tipodato,longitud,decimales,alta,dominio,grupo,descripciongrupo,subgrupo,tiposubgrupo,descripcionsubgrupo,orden,etiqueta,etiquetacorta,claveprimaria,claveforanea,atributoscontrol,tipoespeciales,modulorequerido,busquedaordenamiento,aperturarango,quecontenga,muestrarelacion,nuevosugerido,valorsugerido,versioncampo,autocompletar,ayuda,imagen,ajustable,version,obligatorio,admitebusqueda,version_exe,version_zoo,version_cli,modo_avanzado,saltocampo,sumarizar,reservado,validamodificacion,mascara,campoinicial,formato,deshabilitado,unicidad,atributoforaneo,genhabilitar,validacion,despuesdeasignacion,clavecandidata,talonario,cond_tal,ordenreglanegocio,estetica,buscador,filtrobuscador,mantenerenrecepcion,validacomp,auditoria,ordennavegacion,tags,tooltip,esquema,etiquetaautodescriptiva
"itemkits","Material","KITDET","FAMate","C",10,0,F,"CARACTER",0,"",0,1,"",0,"","",F,"MATERIAL",""," ","",F,0,F,F,F,"","",F,"Material.","",T,0,F,0,7.00,0,0,F,F,"",F,T,"",F,"",F,F,"Articulo.Material",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemkits","IDSeniaCancelada","KITDET","seniacance","C",38,0,F,"CARACTER",0,"",0,1,"",6,"Seña Cancelada","Seña Cancelada",F,"",""," ","",F,0,F,F,F,"","",F,"Seña Cancelada","",T,0,F,0,7.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
