entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"CAI","Código de autorización de autoimpresión","Código de autorización de autoimpresión","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","CAI","B","","",""
"CAJAAUDITORIA","Caja auditoria","Caja auditoria","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"BT","033","B","","",""
"CAJAESTADO","Caja","Caja","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTW","034","B","","",""
"CAJASALDOS","Saldos de caja","Saldos de caja","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"BT","035","B","","",""
"CALCULODEPRECIOS","Modificación masiva de precios","Modificación masiva de precios","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","041","B","This.ObtenerNombre() + " - " + transform( This.Codigo, "@LZ 99999999" )","",""
"CANALDEVENTA","Canal de venta","Canal de venta","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTW","CV","B","","",""
"CANALDEVENTAENCOMPROBANTE","Canal de ventas","Canal de ventas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CVC","B","","",""
"CANCELACIONDECOMPRA","Cancelación de compra","Cancelación de compra","","FactTipo = 44",7.00,0,0,T,"E",2,"Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",1,"",T,T,"CTXD","CAC","B","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"CANCELACIONDESENIAS","Cancelación de señas","Cancelación de señas","","",7.00,0,0,T,"E",2,"","",1,"",T,T,"CTXD","CDS","B","This.ObtenerNombre()  + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"CANJEDECUPONES","Canje de valores","Canje de valores","","",7.00,0,0,T,"E",2,"Ent_ComprobanteDeFondos","ComprobanteDeFondos",1,"",T,F,"CXD","CDV","B","transform( This.Numero, "@LZ 99999999" )","",""
"CATEGORIACLIENTE","Categorías de clientes","Categorías de clientes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","CGC","B","","",""
"CATEGORIASECOMMERCE","Categorías ecommerce","Categorías ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CTG","B","","",""
"CATEGORIASGOOGLESHOPPING","Categorías de Google Shoping","Categorías de Google Shoping","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CGS","B","","",""
"CENTRODECOSTO","Centro de costos","Centro de costos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","CCO","B","","",""
"CHEQUE","Cheques","Cheques","","",7.00,0,0,T,"E",2,"Ent_CarteraDeCheques","",0,"",F,F,"D","CH","B","","",""
"CHEQUEPROPIO","Cheques propios","Cheques propios","","",7.00,0,0,T,"E",2,"Ent_CarteraDeCheques","",0,"",F,F,"D","CP","B","","",""
"CHEQUERA","Chequera","Chequera","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","133","B","","",""
"CHEQUESDISPONIBLES","Detalle de cheques disponible","Detalle de cheques","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CTD","B","","",""
"CIERREDELOTE","Cierre de lote","Cierre de lote","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"CGTD","057","B","","",""
"CIERREEJERCICIO","Cierre de ejercicio","Cierre de ejercicio","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","CEJ","B","","",""
"CLASEDETARJETA","Clases de tarjetas","Clases de tarjetas","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","CDT","B","","",""
"CLASIFICACIONARTICULO","Clasificaciones de artículos","Clasificaciones de artículos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","205","B","","",""
"CLASIFICACIONCLIENTE","Clasificación","Clasificaciones de clientes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTD","203","B","","",""
"CLASIFICACIONCONCEPTOPAGO","Clasificaciones de conceptos de otros pagos","Clasificaciones de conceptos de otros pagos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","CCP","B","","",""
"CLASIFICACIONPRODUCCION","Clasificación de producción","Clasificación de producción","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"","CLP","B","","",""
"CLAVESECRETAREST","Cliente REST","Cliente REST","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"B","PKR","B","","",""
"CLIENTE","Clientes","Clientes","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","008","B","","",""
"CODBARRAALTER","Código de barra alternativo","Código de barra alternativo","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"TBD","CAB","B","","",""
"CODIGOAUTORIZACIONDJCP","Código de autorización de DJCP","Código de autorización de DJCP MECON Resolución 404 E/2016","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","DJC","B","","",""
"CODIGODESERVICIO","Código de servicio","Código de servicio","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","COS","B","","",""
"COLOR","Colores","Colores","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","004","B","","",""
"COMISION","Comisiones por venta","Comisiones por ventas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","COM","B","","",""
"COMPLETARDATOSREGISTRO","Completar datos de cuentas bancartias","Completar datos de cuentas bancartias","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DCB","B","","",""
"COMPLETARDESDEVENTAS","Completa pedido de venta desde registro de ventas","Completar desde ventas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CVE","B","","",""
"COMPORTAMIENTOCODIGOSUGERIDOENTIDAD","Comportamiento de códigos","Comportamiento de códigos","","",7.00,0,0,T,"E",2,"","",1,"ORGANIZACION",F,F,"","CCS","B","","",""
