entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AO","SUIOPTQDGHJKLMWN","","",""
"AGRUPALISTADOSPERSONALIZADOS","Agrupamiento de listados personalizados","Agrupamiento de listados personalizados","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"B","ALP","QSDGOPWHIJTKLMNF","","",""
"AGRUPAMIENTODEBUZONES","Agrupamientos de buzones","Agrupamientos de buzones","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"TBC","ABZ","SIPDJKN","","",""
"AGRUPAMIENTOPORCOMPANIA","Agrupamientos de bases de datos por compania","Agrupamientos de bases de datos por compania","","",7.00,0,0,F,"E",2,"","",0,"PUESTO",F,F,"","AGC","SUIOPQDGHJKLMN","","",""
"AGRUPAMIENTOPUBLICACIONES","Agrupamientos para publicaciones","Agrupamientos para publicaciones","","",7.00,0,0,T,"E",2,"","",0,"",T,F,"","APP","SIPDJKN","","",""
"AJUSTECCCLIENTE","Ajuste de cuenta corriente de clientes","Ajuste de cuenta corriente de clientes","","FactTipo = 43",7.00,0,0,T,"E",2,"","",1,"",T,T,"TXD","AJU","DJN","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"AJUSTECCPROVEEDOR","Ajuste de cuenta corriente de proveedores","Ajuste de cuenta corriente de proveedores","","FactTipo = 44",7.00,0,0,T,"E",2,"","",1,"",T,T,"TXD","AJP","K","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"AJUSTECHEQUERECHAZADO","Ajustes de cheques de terceros rechazados","Ajustes de cheques de terceros rechazados","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BT","AJR","DJKN","","",""
"AJUSTEDECUPON","Ajuste de cupón","Ajuste de cupón","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"C","AJC","JD","","",""
"AJUSTEDEESTADOS","Ajuste de situaciones de estado según comprobantes","Ajuste de situaciones de estado según comprobantes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AES","SI","This.ObtenerNombre() + " - " + transform( This.Numero, "@LZ 9999999999" )","",""
"AJUSTEDESTOCK","Stock según seguimiento contra stock","Stock según seguimiento contra stock","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"C","AJS","SI","This.ObtenerNombre() + " - " + transform( This.Numero, "@LZ 9999999999" )","",""
"ALIVIODECAJA","Alivio de caja","Alivio de caja","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","ADC","DJKN","","",""
"APERTURAAUTOMATICAENTIDADES","Apertura automática de entidades","Apertura automática de entidades","","",7.00,0,0,T,"E",2,"","",1,"ORGANIZACION",F,F,"","AAE","HPJKDSIN","","",""
"APERTURAEJERCICIO","Apertura de ejercicio","Apertura de ejercicio","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"","ADE","F","","",""
"ARQUEODECAJA","Arqueo de caja","Arqueo de caja","","",7.00,0,0,T,"E",2,"","Comprobante",0,"",F,F,"D","ARQ","DJKN","","",""
"ARTICULO","Artículos","Artículos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","ART","SIPDJKN","this.ObtenerDescripcion() + " " + this.codigo","11.0009.13387",""
"ARTICULOINCISODATOSADICIONALESSIPRIB","Articulo inciso datos adicionales SIPRIB","Articulo inciso datos adicionales SIPRIB","","",7.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"","ADA","","","",""
"ASIENTO","Asientos","Asientos","","",7.00,0,0,T,"E",2,"","",1,"",T,F,"D","ASI","F","","",""
"ASIENTOSPERIODICOS","Asientos periódicos","Asientos periódicos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","RAS","F","","",""
"ASIENTOTIPO","Asiento tipo","Asiento tipo","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"B","ATI","F","","",""
"ASIGNARZBD","Asignación de razón social a base de datos","Asignación de razón social a base de datos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"B","ARB","F","","",""
"ASOCIACIONARTICULOSOPERACIONESAFIP","Asociaciones de artículos y tipos de operaciones","Asociaciones de artículos y tipos de operaciones","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"BC","AAO","SIPDJKN","","",""
"Accionesautomaticas","Comportamiento de entidades","Comportamiento de entidades","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AA","SUIOPQDGHJKLMN","","",""
"Agrupamiento","Agrupamientos de bases de datos","Agrupamientos de bases de datos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"TBC","AGR","SUIOPQDGHJKLMN","","",""
"BASEDEDATOS","Base de datos","Base de datos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"","052","SUIOPTQDGHJKLMWN","","",""
"BOLSASYCAJAS","Bolsas y cajas","Bolsas y cajas","","",7.00,0,0,T,"E",2,"","",1,"",T,T,"CTXD","BYC","SI","This.ObtenerNombre() + " " + transform( This.Numero, "@LZ 99999999" )","",""
"Buzon","Buzones","Buzones","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"TBC","BUZ","SUIPDGHJKLN","","",""
"CAE","CAE","CAE","","",7.00,0,0,F,"E",2,"","",1,"",F,T,"TC","FAE","JD","","",""
"CAEA","CAEA","Obtención de CAEA","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"TC","OCA","JD","","",""
"CAEAINFORMA","Informar Movimientos CAEA","Información de movimientos CAEA","","",0.00,0,0,T,"E",2,"","",1,"",F,F,"TC","IMC","JD","","",""
"CAEPORLOTE","Obtención de CAE por Lote","Obtención de CAE por Lote","","",7.00,0,0,T,"E",2,"","",1,"",F,T,"CT","OFA","DJN","","",""
"CAI","Códigos de autorización de impresión - CAI","Códigos de autorización de impresión - CAI","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"TB","CAI","SIPDHJN","","",""
"CALCULODEPRECIOS","Modificación masiva de precios","Modificación masiva de precios","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BT","041","P","This.ObtenerNombre() + " - " + transform( This.Codigo, "@LZ 99999999" )","",""
"CANALDEVENTA","Canal de venta","Canal de venta","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BT","CV","J","","",""
"CANALDEVENTAENCOMPROBANTE","Canal de ventas","Canal de ventas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CVC","SIPDJN","","",""
"CANCELACIONDECOMPRA","Cancelación de compra","Cancelación de compra","","FactTipo = 41",7.00,0,0,T,"E",2,"Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",1,"",T,T,"CTXD","CAC","K","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"CANCELACIONDESENIAS","Cancelación de señas","Cancelación de señas","","",7.00,0,0,T,"E",2,"","",1,"",T,T,"CTXD","CDS","DJN","This.ObtenerNombre()  + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"CANJEDECUPONES","Canje de valores","Canje de valores","","",7.00,0,0,T,"E",2,"Ent_ComprobanteDeFondos","ComprobanteDeFondos",1,"",T,F,"CXD","CDV","T","transform( This.Numero, "@LZ 99999999" )","",""
"CATEGORIACLIENTE","Categorías de clientes","Categorías de clientes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","CGC","SIPDJN","","",""
"CATEGORIADEARTICULO","Categorías de artículos","Categorías de artículos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","SGR","SIPDJKN","","",""
"CATEGORIASECOMMERCE","Categorías ecommerce","Categorías ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CTG","SIPDJKN","","",""
"CATEGORIASGOOGLESHOPPING","Categorías de Google Shoping","Categorías de Google Shoping","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CGS","SIPDJKN","","",""
"CENTRODECOSTO","Centro de costos","Centro de costos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BD","CCO","F","","",""
"CHEQUEPROPIO","Cheque propio","Cheques propios","","",7.00,0,0,T,"E",2,"Ent_CarteraDeCheques","",0,"",F,F,"BCD","CP","DJKN","","",""
"CHEQUERA","Chequera","Chequeras","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","133","PDJKN","","",""
"CHEQUESDISPONIBLES","Detalle de cheques disponibles","Detalle de cheques","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","CHD","DJKN","","",""
"CIERREDELOTE","Cierre de lote","Cierre de lote","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"CGTD","057","T","","",""
"CIERREEJERCICIO","Cierre de ejercicio","Cierre de ejercicio","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"","CEJ","F","","",""
"CLASEDETARJETA","Clases de tarjetas","Clases de tarjetas","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTWD","CLA","PTH","","",""
"CLASIFICACIONARTICULO","Clasificaciones de artículos","Clasificaciones de artículos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","205","SIPDJKN","","",""
"CLASIFICACIONCLIENTE","Clasificaciones de clientes","Clasificaciones de clientes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTD","203","SIPDJN","","",""
"CLASIFICACIONCONCEPTOCAJA","Clasificaciones de conceptos","Clasificaciones de conceptos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTD","CCC","SIPDJKN","","",""
"CLASIFICACIONCONCEPTOPAGO","Clasificaciones de conceptos de otros pagos","Clasificaciones de conceptos de otros pagos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","CCP","SIPDJKN","","",""
"CLASIFICACIONPRODUCCION","Clasificación de producción","Clasificación de producción","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"C","CLP","X","","",""
"CLASIFICACIONPROVEEDOR","Clasificaciones de proveedores","Clasificaciones de proveedores","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTD","207","SIPDJKN","","",""
"CLASIFICACIONVENDEDOR","Clasificaciones de vendedores","Clasificaciones de vendedores","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTD","208","SIPDJKN","","",""
"CLAVESECRETAREST","Cliente REST API","Cliente REST API","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"B","PKR","G","","",""
"CLIENTE","Clientes","Clientes","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTCD","CLI","SIPDJN","this.Nombre","07.0008.12019",""
"CLIENTEECOMMERCE","Clientes ecommerce","Clientes ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","CEC","E","","",""
"CLIENTERECOMENDANTE","Cliente recomendante","Cliente recomendante","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CLR","SIPDJN","","07.0008.12019",""
"CODBARRAALTER","Código de barra alternativo","Código de barra alternativo","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"TBD","CAB","SIPDJKN","","",""
"CODIGOAUTORIZACIONDJCP","Código de autorización de DJCP","Códigos de autorización de DJCP MECON Resolución 404 E/2016","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","DJC","SIPDJKN","","",""
"CODIGODESERVICIO","Código de servicio","Código de servicio","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"W","COS","SIPDJKN","","",""
"COLOR","Colores","Colores","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","001","SIPDJKN","","",""
"COMISION","Comisiones por ventas","Comisiones por ventas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"CB","COM","DJ","","",""
"COMPLETARDATOSREGISTRO","Completar datos de cuentas bancarias","Completar datos de cuentas bancarias","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DCB","SIPDJKN","","",""
"COMPLETARDESDEVENTAS","Completar pedido de ventas desde registro de ventas","Completar desde ventas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CVE","P","","",""
