entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"BOLSASYCAJAS","Codigo","BOLYCAJ","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"BOLSASYCAJAS","FechaOriginal","BOLYCAJ","FECHAORI",F,"D",8,0,"FECHA",F,"",F,"",F,""
"BOLSASYCAJAS","anulado","BOLYCAJ","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BOLSASYCAJAS","Descripcion","BOLYCAJ","DESCRIP",T,"C",40,0,"CARACTER",F,"",F,"",T,""
"BOLSASYCAJAS","NumeroOriginal","BOLYCAJ","NUMEROORI",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"BOLSASYCAJAS","Motivo","BOLYCAJ","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"BOLSASYCAJAS","vendedor","BOLYCAJ","VENDEDOR",T,"C",10,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"BOLSASYCAJAS","Numero","BOLYCAJ","NUMERO",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"BOLSASYCAJAS","Fecha","BOLYCAJ","FECHA",T,"D",8,0,"FECHACOMPROBANTE",F,"",T,"=goServicios.librerias.ObtenerFecha()",T,""
"BOLSASYCAJAS","OrigTipo","BOLYCAJ","ORIGTIPO",F,"N",2,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"BOLSASYCAJAS","OrigLetra","BOLYCAJ","ORIGLETRA",F,"C",1,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"BOLSASYCAJAS","OrigPtoVta","BOLYCAJ","ORIGPVTA",F,"N",4,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"BOLSASYCAJAS","OrigNumero","BOLYCAJ","ORIGNRO",F,"N",8,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"BOLSASYCAJAS","Observacion","BOLYCAJ","MObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"BOLSASYCAJAS","MovimientoDetalle","DETBOLYCAJ","NUMR",T,"G",38,0,"DETALLEITEMBOLSASYCAJAS",F,"",F,"",F,""
