entidad,descripcion,titulo,tipo,herencia,kontroler,formulario
"ITEMCONCEPTOLIQ","Item concepto de liquidación","Item concepto de liquidación","I","","",F
"LIQUIDACIONMENSUAL","Liquidación mensual","Liquidación mensual","E","","",T
"ITEMLIQDIARIA","Item de liquidación diaria en liquidación mensual","Item de liquidación diaria en liquidación mensual","I","","",F
"ITEMLIQGENERAL","Item de liquidación mensual","Item de liquidación mensual","I","","",F
"ITEMIMPUESTOSLIQ","Item impuesto liquidación mensual","Item impuesto liquidación mensual","I","","",F
"ITEMIMPUESTOSLIQCOM","Item otros impuestos liquidación mensual","Item otros impuestos liquidación mensual","I","","",F
"PLANDECUENTAS","Plan de cuentas","Plan de cuentas","E","","",T
"Comprobantederetencionrecibido","Comprobante de retención recibido","Comprobante de retención recibido","E","","",T
"Itemretencionrecibo","Items retenciones de impuestos recibidos en el recibo","Items retenciones recibidas","I","","",F
"Itemretencionrecibida","Items impuestos del comprobante de retenciones recibidos","Items de impuestos del comprobante de retenciones recibidos","I","","",F
"Datosretencionrecibido","Comprobante de retención recibido","Comprobante de retención recibido","E","","",T
"REPORTEELECTRONICO","Descarga de reportes electrónicos R.G. 3561/13","Descarga de reportes electrónicos RG 3561/13","E","","",T
"CLIENTERECOMENDANTE","Cliente recomendante","Cliente recomendante","E","","",T
"COMPLETARDESDEVENTAS","Completar pedido de ventas desde registro de ventas","Completar desde ventas","E","","",T
"CENTRODECOSTO","Centro de costos","Centro de costos","E","","",T
"DISTRIBUCIONCENTRODECOSTO","Distribución por centro de costos","Distribución por centro de costos","E","","",T
"ITEMCCOSTO","Item de distribucion de centro de costo","Item de distribución de centro de costo","I","","",F
"ASIENTO","Asientos","Asientos","E","","",T
"ITEMASIENTO","Item de asientos contables","Item de asientos contables","I","","",F
"RAZONSOCIAL","Razón social","Razón social","E","","",T
"EJERCICIO","Ejercicio","Ejercicio","E","","",T
"ASIGNARZBD","Asignación de razón social a base de datos","Asignación de razón social a base de datos","E","","",T
"IMPDIRVAL","Imputación de valores a cuenta contable","Imputación de valores a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRART","Imputación de artículo a cuenta contable","Imputación de artículo a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRCLI","Imputación de cliente a cuenta contable","Imputación de cliente a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRPRO","Imputación de proveedor a cuenta contable","Imputación de proveedor a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRIMP","Imputación de impuesto a cuenta contable","Imputación de impuesto a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRCAJ","Imputación de concepto a cuenta contable","Imputación de concepto a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRCON","Imputación de concepto de otros pagos a cuenta contable","Imputación de concepto de otros pagos a cuenta contable","E","ent_ImputacionDirectaBase","",T
"IMPDIRDES","Imputación de destino de descarga de cheques de terceros","Imputación de destino de descarga de cheques de terceros","E","ent_ImputacionDirectaBase","",T
"IMPDIROPE","Imputación de operadoras de tarjetas","Imputación de operadoras de tarjetas","E","ent_ImputacionDirectaBase","",T
"IMPDIRLIQ","Imputación de concepto de liquidación de tarjetas","Imputación de concepto de liquidación de tarjetas","E","ent_ImputacionDirectaBase","",T
"IMPVERCC","Imputación vertical a centro de costos","Imputación vertical a centro de costos","E","ent_ImputacionDirectaBase","",T
"CONTABILIZACION","Contabilización de asientos tipo","Proceso de contabilización","E","","",T
"ASIENTOTIPO","Asiento tipo","Asiento tipo","E","","",T
"ITEMASIENTOTIPO","Item de configuracion de asientos tipo","Item de configuracion de asientos tipo","I","","",F
"CIERREEJERCICIO","Cierre de ejercicio","Cierre de ejercicio","E","","",T
"IMPDIRCCA","Imputación de artículo a centro de costos en compras","Imputación de artículo a centro de costos en compras","E","ent_ImputacionDirectaBase","",T
