id,idnodo,parametro,tipodato,default,organizacion,puesto,sucursal,ayuda,version_exe,version_zoo,version_cli,paramint,paramusu,exe,longitud,decimales,idnodocliente,dominio,opciones,idunico
9753,1,"Controlar el ingreso de colores y talles asociados a paletas y curvas","N","1",0,1,0,"Sólo permite ingresar, para una combinación, colores y talles que pertenezcan a la paleta de colores y/o curva de talles asociada.",0.00,0,0,"ControlarElIngresoDeColoresYTallesAsociadosAPaletasYCurvas","Controlar el ingreso de colores y talles asociados a paletas y curvas.",T,0,0,1,"COMBO","Deshabilitar,Habilitar,Sólo advertir","1F2918E201D7A0141421B85015276383916501"
9795,1,"ModoComercial","N","1",1,0,0,"Define el modo edición de Dragonfish",0.00,0,0,"Modocomercial","Edición del sistema",F,0,0,1,"COMBO","Color y Talle, Pymes","1F6134A161DF4014D121854414873048536191"
9463,3,"Generar archivo1 en transferencia de artículos y movimientos de mercadería","N","1",3,1,2,"Generar archivo en envío de paquetes de datos de artículos y movimientos de mercadería",0.00,0,0,"GenerarArchivoEnTransferenciaDeArticulosYMovimientosDeMercaderia","Generar archivo en envío de paquetes de datos de artículos y movimientos de mercadería",F,1,0,999999,"","","19AC132AC136E414B92199E214774342753701"
9465,5,"Generar Archivo en Transferencia de Articulos y Movimientos de Mercaderia","C","1",3,1,2,"Crea un archivo especial para trabajar con sucursales en las cuales esté instalado Discovery",0.00,0,0,"GenerarArchivoEnTransferenciaDeArticulosYMovimientosDeMercaderia","Generar Archivo en envío de Paquetes de datos de Articulos y Movimientos de Mercaderia",F,5,0,999999,"","","173C333E31CCC3148421B50419849153921491"
9466,6,"Habilitar la Interfase","N","1",3,1,2,"Habilita la Interfase con BAS Modulares",0.00,0,0,"HabilitarLaInterfase","Habilitar la Interfase",F,1,0,999999,"","","16EFE9D43120BA145A51A86517851608941061"
9467,7,"Habilitar Interfase Plataforma","N","1",3,1,2,"Habilitar Interfase Plataforma",0.00,0,0,"HabilitarInterfasePlataforma","Habilitar Interfase Plataforma",F,1,0,999999,"","","101728F1C1FA7214248197B615785697694151"
9468,8,"Recepcion de datos al Transmitir","N","1",3,1,2,"Recepcion de lo que recibe al Transmitir",0.00,0,0,"RecepcionDeDatosAlTransmitir","Recepcion de datos al Transmitir",F,1,0,999999,"","","11C41B8E11109F144801B6D311124281538261"
9471,10,"Habilitar Interfase","N","1",3,1,2,"Habilitar Interfase NorDelta",0.00,0,0,"HabilitarInterfase","Habilitar Interfase",F,1,0,999999,"","","14AC711561C7DA14D7A1912817925300727001"
9470,11,"Habilitar Interfase","N","1",3,1,2,"Habilitar Interfase con Solar de la Abadía 2005",0.00,0,0,"HabilitarInterfase","Habilitar Interfase",F,1,0,999999,"","","1C6DA9EDD1C8A2145F61B0F417960292775001"
9472,12,"Habilitar Interfase","N","1",3,1,2,"Habilitar Interfase Shopping Córdoba",0.00,0,0,"HabilitarInterfase","Habilitar Interfase",F,1,0,999999,"","","1FC930FEF1A04D148411BC2214936664772361"
9473,13,"Pedir datos para RG1547 en ventas y compras","N","1",3,1,2,"Pedir datos para RG1547 en ventas y compras",0.00,0,0,"PedirDatosParaRg1547EnVentasYCompras","Pedir datos para RG1547 en ventas y compras",F,1,0,999999,"","","12D828DD31498814F581AA7A18541705838341"
9474,13,"Utilizar duplicados electronicos","N","1",3,1,2,"Habilita la herramienta que genera el archivo de duplicados electrónicos",0.00,0,0,"UtilizarDuplicadosElectronicos","Utilizar duplicados electronicos",F,1,0,999999,"","","14C9D65A41E40E14F691A1DA11091049778331"
9475,13,"Habilita Exportacion Al Sistema Arciba","N","1",3,1,2,"Habilita Exportacion Al Sistema Arciba",0.00,0,0,"HabilitaExportacionAlSistemaArciba","Habilita Exportacion Al Sistema Arciba",F,1,0,999999,"","","1B74B87171EA9C146FE190DE12636515297201"
9476,13,"Habilita Exportacion al Sistema Arba","N","1",3,1,2,"Habilita Exportacion al Sistema Arba",0.00,0,0,"HabilitaExportacionAlSistemaArba","Habilita Exportacion al Sistema Arba",F,1,0,999999,"","","145CE4276194D314E9D1A8E817034042658241"
9405,14,"Incorporar el stock de pedidos de compra al disponible","L",".F.",0,0,1,"Incorpora al cálculo del stock disponible los artículos solicitados en los pedidos de compra.",0.00,0,0,"IncorporaElStockDePedidosDeCompraAlDisponible","Incorporar el stock de pedidos de compra al disponible",T,0,0,250,"","","18F69BB5F138B614B1E1B44E13345135323251"
9406,14,"Habilita stock señado","L",".f.",0,0,1,"Permite incorporar al control de stock los artículos señados",0.00,0,0,"HabilitaStockSeniado","Incorporar el stock señado al disponible",T,0,0,250,"","","131596DD31D99514CF2194DB15285238793381"
