entidad,componente
"AJUSTECCCLIENTE","AjusteCCValoresVentas"
"AJUSTECCPROVEEDOR","AjusteCCValoresCompras"
"APERTURAEJERCICIO","Asiento"
"APERTURAEJERCICIO","CostoMercaderiaVendida"
"ARQUEODECAJA","ArqueoDeCaja"
"ASIENTO","Asiento"
"ASIENTOSPERIODICOS","Asiento"
"CAEAINFORMA","FacturacionElectronica"
"CANCELACIONDESENIAS","SENIASVENCIDAS"
"CANJEDECUPONES","CANJEDECUPONES"
"CIERREDELOTE","CIERREDELOTE"
"CIERREEJERCICIO","Asientos"
"CIERREEJERCICIO","CostoMercaderiaVendida"
"CLIENTE","DatosAdicionalesSIPRIB"
"COMPROBANTEDECAJA","ArqueoDeCaja"
"COMPROBANTEDECAJA","CUENTABANCARIACOMPROBANTECAJA"
"CONCILIACIONDECAJA","AJUSTESDECAJA"
"CONCILIACIONES","ConciliacionesCheques"
"CONTABILIZACION","Asientos"
"DATOSFISCALES","AccionesAutomaticasParaDatosFiscales"
"DESCARGADECHEQUES","CUENTABANCARIADESCARGADECHEQUES"
"ENTREGADEMERCADERIAS","EntregaDeMercaderias"
"FACTURA","DESCUENTOS"
"FACTURA","DatosAdicionalesComprobantesA"
"FACTURA","Ecommerce"
"FACTURA","LimitesDeConsumo"
"FACTURA","RegistroLiquidacionConsignaciones"
"FACTURA","SENIAS"
"FACTURA","SERVICIOSALCLIENTE"
"FACTURAAGRUPADA","DESCUENTOS"
"FACTURAAGRUPADA","DatosAdicionalesComprobantesA"
"FACTURAAGRUPADA","FacturacionElectronica"
"FACTURAAGRUPADA","LimitesDeConsumo"
"FACTURAAGRUPADA","RegistroLiquidacionConsignaciones"
"FACTURAAGRUPADA","SENIAS"
"FACTURAAGRUPADA","SERVICIOSALCLIENTE"
"FACTURADECOMPRA","TIPODECOMPROBANTEDECOMPRA"
"FACTURADEEXPORTACION","DESCUENTOS"
"FACTURADEEXPORTACION","LimitesDeConsumo"
"FACTURADEEXPORTACION","SENIAS"
"FACTURAELECTRONICA","DESCUENTOS"
"FACTURAELECTRONICA","DatosAdicionalesComprobantesA"
"FACTURAELECTRONICA","Ecommerce"
"FACTURAELECTRONICA","FacturacionElectronica"
"FACTURAELECTRONICA","LimitesDeConsumo"
"FACTURAELECTRONICA","RegistroLiquidacionConsignaciones"
"FACTURAELECTRONICA","SENIAS"
"FACTURAELECTRONICA","SERVICIOSALCLIENTE"
"FACTURAELECTRONICADECREDITO","DESCUENTOS"
"FACTURAELECTRONICADECREDITO","DatosAdicionalesComprobantesA"
"FACTURAELECTRONICADECREDITO","Ecommerce"
"FACTURAELECTRONICADECREDITO","FacturacionElectronica"
"FACTURAELECTRONICADECREDITO","LimitesDeConsumo"
