entidad,componente
"ASIGNACIONGRUPOCOMUNICACIONESASERIES","AsignacionGrupoComunicacionesASeries"
"CAMBIODERAZONSOCIAL","CambioRazonSocial"
"ITEMBAJAITEMSERVICIO","PRECIOS"
"ITEMBAJAITEMSERVICIORLS","PRECIOS"
"ITEMCOMPVINCITEM","EsquemaComision"
"ITEMPRESU","PRECIOS"
"ITEMPRESUIYD","PRECIOS"
"ITEMPRESURLS","PRECIOS"
"ITEMSERVICIOSDESCUENTOS","PRECIOS"
"ITEMSERVICIOSHOJASERV","PRECIOS"
"ITEMSSERVICIOSLOTEBAJA","SERVICIOS"
"ITEMTAREASHOJASERV","PRECIOS"
"ITEMVALORES","CAJERO"
"ITEMVALORESCAJA","CAJERO"
"ITEMmodificacionprecios","PRECIOS"
"ZLAsigEsqueComisio","EsquemaComision"
"ZLRZINCOBRABLEAPROB","RSIncobrableAprob"
"itemgrupocomunica","comunicacion"
"zlservicioslote","SERVICIOS"
