id,idnodo,parametro,tipodato,default,organizacion,puesto,sucursal,ayuda,version_exe,version_zoo,version_cli,paramint,paramusu,exe,longitud,decimales,idnodocliente,dominio,opciones,idunico
3,1,"Ultimo Numero De Incidente","N","0",3,2,1,"UltimoNumeroDeIncidente",0.00,0,0,"UltimoNumeroDeIncidente","UltimoNumeroDeIncidente",T,0,0,0,"","","1E9F3626D1F68114AD018D5011406844236081"
4,1,"Ultimo Numero De Transaccion","N","0",3,2,1,"UltimoNumeroDeTransaccion",0.00,0,0,"UltimoNumeroDeTransaccion","UltimoNumeroDeTransaccion",T,0,0,0,"","","1D3775CC51D84714F4C1B24710161214701881"
5,1,"Ultimo Numero De ContactoMDA","N","0",3,2,1,"UltimoNumeroDeContactomda",0.00,0,0,"UltimoNumeroDeContactomda","UltimoNumeroDeContactomda",T,0,0,0,"","","11782E0361605F1456918BD214854642684701"
35,1,"Minutos control CheckLine/Host","N","30",3,2,1,"Min. que transcurren para verificar si los robots de checkline y/o Host esten activos, si el valor es 0 no controla.",0.00,0,0,"MinutosControlChecklineHost","Minutos control CheckLine/Host",T,2,0,1,"","","1F0EBAB62138D1140571953E15212741272281"
36,1,"Minutos tolerancia del control Checkline/Host","N","0",3,2,1,"Minutos de tolerancia para el control de los robots de Checkline/Host",0.00,0,0,"MinutosToleranciaDelControlChecklineHost","Minutos tolerancia del control Checkline/Host",T,2,0,1,"","","169BD867E13668147601B77A13632269925201"
48,1,"Ruta de la tabla de interfaz para desactivacion","C","",2,1,3,"Indica la ruta de la tabla de interfaz para dar códigos de desactivacion a web, ivr, etc.",0.00,0,0,"RutaDeLaTablaDeInterfazParaDesactivacion","Ruta de la tabla de interfaz para desactivacion",T,254,0,1,"","","15D9F29F61D3CF14D7E1927215060432389201"
49,1,"Método de comunicaciones sugerido","N","1",2,1,3,"Permite indicar cuál es el método de comunicación sugerido al crear un nuevo servidor de comunicaciones",0.00,0,0,"MetodoDeComunicacionesSugerido","Método de comunicaciones sugerido",F,1,0,1,"","","10BA7D2131E0A01499E1976F14412067152001"
52,1,"Cantidad de Intentos de Reconexion","N","10",3,1,2,"Cantidad de Intentos de Reconexion",0.00,0,0,"CantidadDeIntentosDeReconexion","Cantidad de Intentos de Reconexion",F,2,0,1,"","","1BAE03C5D122C3148821B35713237587396501"
114,1,"Ruta descarga adjuntos AG","C","https://api-zoologic.zoologic.cloud/obteneradjuntoavisodepago",1,0,0,"Obtiene la ruta de descarga de archivos adjuntos de Autogestion",0.00,0,0,"RutaDescargaAdjuntosAg","Ruta de descarga de archivos adjuntos de Autogestion",T,254,0,1,"TEXTOMINMAY","","12DC5268411D9F147381A00611958656610501"
1,2,"Serie minimo","C","407000",3,1,2,"",0.00,0,0,"Serieminimo","Serie minimo",F,0,0,0,"","","1C24D2256123A314211184BF18211663356241"
2,2,"Serie Minimo Toma de Inventario","C","300000",3,1,2,"",0.00,0,0,"SerieMinimoTomadeInventario","Serie Minimo Toma de Inventario",F,0,0,0,"","","179F9936C1C97414F8D1894A12840411593281"
6,3,"Cliente Sugerido Default","C","",0,1,0,"Cliente sugerido en donde aparece cliente como atributo",0.00,0,0,"ClienteSugeridoDefault","Cliente Sugerido Default",T,5,0,1,"TEXTOMINMAY","","1F2741BE91732F144901AB5115709479825001"
7,3,"Serie Sugerido Default","C","",3,1,2,"Serie sugerido en donde aparece serie como atributo",0.00,0,0,"SerieSugeridoDefault","Serie Sugerido Default",T,6,0,1,"","","17595126D111F01487B197BE10810514491431"
8,3,"Razon Social Sugerido Default","C","",3,1,2,"Razón Social Sugerida en Eventos de COM",0.00,0,0,"RazonSocialSugeridoDefault","Razon Social Sugerido Default",T,5,0,1,"","","1E0AE64821BF6A148731986213408086242101"
9,3,"Prospecto Sugerido Default","C","",3,1,2,"Número de Prospecto Sugerido",0.00,0,0,"ProspectoSugeridoDefault","Prospecto Sugerido Default",T,5,0,1,"","","1D73E8EDE1F9D8145B91BEEC12505464605401"
